               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11152,            0.011954,                   0,           0.0051438,           0.0021231,           0.0012677,          0.00032515,              0.1021,             0.01038,                   0,            0.070275,           0.0033028,           0.0033028
                   1,            0.097149,            0.013645,                   0,             0.41398,              0.1741,             0.18365,            0.050614,            0.087013,           0.0097133,                   0,            0.040144,           0.0065047,           0.0065047
                   2,             0.08555,            0.013452,                   0,              0.5494,             0.13376,             0.23659,            0.068363,            0.077213,           0.0095518,                   0,           0.0098804,           0.0095746,           0.0095746
                   3,             0.07327,            0.014398,                   0,             0.59458,             0.27176,             0.32778,            0.088663,            0.064431,           0.0098414,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.065893,            0.014357,                   0,             0.59765,             0.46991,             0.45073,             0.12703,            0.057206,           0.0091392,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.059284,            0.013512,                   0,             0.70053,             0.59236,             0.66292,             0.27908,            0.053661,           0.0088819,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.055053,            0.013595,                   0,             0.64635,             0.63694,             0.58776,              0.2297,            0.047297,           0.0084143,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.052287,            0.011932,                   0,             0.67044,             0.62198,             0.60544,             0.19482,            0.051783,           0.0075276,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.048467,            0.011604,                   0,             0.78114,             0.71229,             0.76655,             0.32017,            0.045201,           0.0071716,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.048539,            0.010637,                   0,             0.85759,             0.74154,              0.8103,             0.33365,             0.04424,           0.0065562,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.048378,            0.010109,                   0,               0.857,             0.76433,             0.84667,             0.38669,            0.040033,           0.0063805,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.044269,           0.0099998,                   0,             0.89324,             0.77495,             0.87321,             0.43181,            0.038455,            0.006011,                   0,             0.00802,             0.00802,             0.00802
